PTT,DATE,TIME,LC,LAT1,LONG1
105290,2011/03/10,16:56:58,B,-46.1690,39.1370
105290,2011/03/10,17:50:58,2,-46.2170,39.0900
105290,2011/03/10,18:07:28,2,-46.2230,39.0850
105290,2011/03/10,18:22:58,1,-46.2220,39.0950
105297,2011/03/10,09:22:15,0,-46.4880,37.9990
105297,2011/03/10,09:59:15,A,-46.7700,38.4110
105297,2011/03/10,11:05:45,1,-46.2720,38.5650
105297,2011/03/10,11:40:15,0,-46.2680,38.5210
105297,2011/03/10,12:45:15,0,-46.0770,38.8920
105297,2011/03/10,13:22:15,0,-45.9280,39.0140
105297,2011/03/10,13:37:45,0,-45.8780,38.9440
105297,2011/03/10,15:17:45,0,-45.4450,39.4140
105297,2011/03/10,16:12:15,0,-45.1170,39.4110
105297,2011/03/10,16:27:15,1,-45.1240,39.4880
105297,2011/03/10,16:56:45,0,-44.9010,39.7420
105297,2011/03/10,17:50:45,2,-44.9610,39.5560
105297,2011/03/10,18:08:15,3,-44.9590,39.5620
105297,2011/03/10,18:19:45,3,-44.9580,39.5590
105297,2011/03/10,19:31:45,3,-44.9520,39.5540
105297,2011/03/10,19:46:15,A,-44.9520,39.5590
105297,2011/03/10,19:59:15,0,-44.9260,39.5400
105296,2011/03/11,07:25:19,0,-43.4360,40.0630
105296,2011/03/11,09:14:19,A,-42.8550,40.0390
105296,2011/03/11,09:49:19,0,-42.5910,39.8820
105296,2011/03/11,10:55:19,0,-42.5740,39.9550
105295,2011/03/11,07:26:47,0,-42.8950,39.6440
105295,2011/03/11,09:50:17,B,-42.2040,39.0830
105295,2011/03/11,10:55:17,0,-41.9850,38.9310
105294,2011/03/11,07:28:13,0,-46.5340,37.9030
105294,2011/03/11,10:54:43,0,-45.3830,37.8640
105293,2011/03/11,07:25:20,0,-41.9170,42.4100
105293,2011/03/11,09:15:21,A,-41.1870,41.9580
105293,2011/03/11,09:49:21,A,-40.9320,41.7960
105293,2011/03/11,10:55:51,0,-40.6900,41.4510
105292,2011/03/11,07:25:11,0,-44.1430,34.8720
105292,2011/03/11,10:54:40,0,-43.0510,34.0700
105291,2011/03/11,07:25:00,0,-43.2470,39.5980
105291,2011/03/11,09:12:30,0,-42.5960,39.8400
105291,2011/03/11,10:56:00,2,-42.5390,39.5840
105290,2011/03/11,07:25:28,0,-46.6410,38.0130
105290,2011/03/11,09:48:28,B,-45.8210,37.8140
105290,2011/03/11,10:54:58,0,-45.4800,38.3630
105297,2011/03/11,07:26:46,0,-42.7520,39.2710
105297,2011/03/11,09:13:46,A,-41.5210,39.2920
105297,2011/03/11,10:56:46,0,-42.3670,38.5530
105296,2011/03/12,07:07:20,0,-42.9940,40.0510
105296,2011/03/12,08:47:50,0,-44.3390,39.8630
105296,2011/03/12,09:03:20,A,-44.2900,39.7150
105296,2011/03/12,10:43:20,0,-45.4050,39.3490
105295,2011/03/12,07:06:48,0,-39.9720,33.9640
105295,2011/03/12,08:46:18,0,-39.5240,33.5460
105295,2011/03/12,10:46:18,0,-39.3740,34.0890
105294,2011/03/12,07:08:14,0,-41.5000,35.5910
105294,2011/03/12,08:45:44,0,-41.4850,35.0090
105294,2011/03/12,10:45:14,0,-41.3030,35.0340
105293,2011/03/12,07:05:51,0,-39.2980,38.1040
105293,2011/03/12,08:47:21,Z,-40.2740,38.4220
105293,2011/03/12,10:40:21,0,-40.8420,38.1430
105292,2011/03/12,07:05:40,0,-40.9470,31.0030
105292,2011/03/12,08:45:40,A,-40.5250,31.6240
105292,2011/03/12,10:45:10,2,-40.3400,32.1970
105291,2011/03/12,07:07:30,0,-41.6140,38.5950
105291,2011/03/12,08:47:00,Z,-29.7130,-29.3530
105291,2011/03/12,10:46:00,2,-41.6780,37.3780
105290,2011/03/12,07:05:59,0,-42.0360,39.7080
105290,2011/03/12,08:47:59,B,-42.8100,40.2170
105290,2011/03/12,09:38:59,B,-43.3430,39.8360
105290,2011/03/12,10:42:59,0,-44.1300,40.2760
105297,2011/03/12,07:07:47,0,-39.9740,35.8640
105297,2011/03/12,08:46:17,A,-40.1300,36.0640
105297,2011/03/12,10:45:47,0,-39.9250,35.7590
105296,2011/03/13,08:24:50,A,-45.9090,38.4680
105296,2011/03/13,10:34:21,0,-45.3280,38.8090
105295,2011/03/13,07:46:49,0,-24.3420,-21.1800
105295,2011/03/13,08:25:49,0,-34.9580,29.6960
105295,2011/03/13,10:35:49,0,-35.0820,28.0930
105294,2011/03/13,07:49:14,B,-39.3360,35.3830
105294,2011/03/13,08:25:14,0,-39.4300,34.6060
105294,2011/03/13,10:34:14,0,-39.4290,34.5490
105293,2011/03/13,08:24:52,A,-46.3380,38.1080
105293,2011/03/13,10:34:52,0,-45.9720,38.2760
105292,2011/03/13,07:50:40,B,-45.5540,37.2820
105292,2011/03/13,08:26:40,0,-46.3400,37.4570
105292,2011/03/13,10:32:10,0,-46.0560,38.0250
105291,2011/03/13,08:25:00,1,-40.2500,36.9850
105291,2011/03/13,10:35:30,0,-39.8360,36.2980
105290,2011/03/13,08:25:00,B,-45.3040,39.6310
105290,2011/03/13,10:33:00,0,-45.1680,38.9120
105297,2011/03/13,08:25:18,0,-39.5630,35.5670
105297,2011/03/13,10:34:48,0,-39.6070,35.5690
105296,2011/03/14,07:24:21,0,-41.9630,40.7080
105296,2011/03/14,08:04:21,0,-42.4550,40.6400
105296,2011/03/14,10:23:51,0,-42.5790,40.1080
105296,2011/03/14,10:56:21,0,-42.3530,40.0250
105295,2011/03/14,07:22:49,0,-34.5150,25.5340
105295,2011/03/14,08:02:49,1,-34.5210,25.5350
105295,2011/03/14,10:25:19,1,-34.5630,25.1680
105294,2011/03/14,07:26:45,0,-44.6930,34.3320
